Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Lombardi F., Rocco M.V., Belussi L., Danza L., Magni C., Colombo E.",57191474020;56241631100;55203944300;35757331500;57224170252;57278688200;,Weather-induced variability of country-scale space heating demand under different refurbishment scenarios for residential buildings,2022,Energy,239,,122152,,,,,10.1016/j.energy.2021.122152,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116071175&doi=10.1016%2fj.energy.2021.122152&partnerID=40&md5=22c95bfcf661e219d87030236ddde9d0,"Politecnico di Milano, Department of Energy, Milan, Italy; National Research Council of Italy, Construction Technologies Institute (ITC-CNR), San Giuliano Milanese, Italy; KU Leuven, Faculty of Engineering Technology, Geel, Belgium; TU Delft, Department of Engineering Systems and Services, Delft, Netherlands","Lombardi, F., Politecnico di Milano, Department of Energy, Milan, Italy, TU Delft, Department of Engineering Systems and Services, Delft, Netherlands; Rocco, M.V., Politecnico di Milano, Department of Energy, Milan, Italy; Belussi, L., National Research Council of Italy, Construction Technologies Institute (ITC-CNR), San Giuliano Milanese, Italy; Danza, L., National Research Council of Italy, Construction Technologies Institute (ITC-CNR), San Giuliano Milanese, Italy; Magni, C., KU Leuven, Faculty of Engineering Technology, Geel, Belgium; Colombo, E., Politecnico di Milano, Department of Energy, Milan, Italy","The decarbonisation of residential heat through integration with the power system and deployment of refurbishment policies is at the core of European energy policies. Yet, heat-electricity integration may be challenged, in practice, by the large variability of heat demand across weather years. Current approaches for residential heat demand simulation fail to provide insights about the extent of such variability across many weather years and about the benefits potentially brought about by nearly zero-energy buildings. To fill this gap, this work develops an open-source space-heating demand simulation workflow that is applicable to any country's building stock. The workflow, based on a well-established lumped-parameter thermodynamic model, allows capturing sub-national weather-year variability and the mitigation effects of refurbishment. For Italy, different weather years lead to variations in heat demand up to 2 TWh/day, lasting for several days. Moreover, some weather regimes produce spatial asymmetries that may further complicate heat-electricity integration. The refurbishment of about 55% of buildings constructed before 1975 could substantially mitigate such oscillations, leading to a 31–37% reduction of yearly heat demand, primarily in colder regions. Intra-day heat demand variations, driven by user behaviour, are not substantially impacted by refurbishment, calling for the simultaneous deployment of flexible heat generating technologies. © 2021 The Author(s)",Energy modelling; Heat demand simulation; Lumped-parameter approach; Nearly zero energy buildings; Weather regimes,,Article,Final,,Scopus,2-s2.0-85116071175
"Tsalidis G.A., Korevaar G.",56231139500;7801431269;,Environmental assessments of scales: The effect of ex-ante and ex-post data on life cycle assessment of wood torrefaction,2022,"Resources, Conservation and Recycling",176,,105906,,,,,10.1016/j.resconrec.2021.105906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115015414&doi=10.1016%2fj.resconrec.2021.105906&partnerID=40&md5=810ccd876ab836379e18b1474fb32014,"Department of Biotechnology, Faculty of Applied Sciences, Delft University of Technology, Van der Maasweg 92629, HZ Delft, Netherlands; Engineering Systems and Services department, Faculty of Technology, Policy and Management Delft University of Technology, Jaffalaan 5, 2628, BX Delft, Netherlands","Tsalidis, G.A., Department of Biotechnology, Faculty of Applied Sciences, Delft University of Technology, Van der Maasweg 92629, HZ Delft, Netherlands, Engineering Systems and Services department, Faculty of Technology, Policy and Management Delft University of Technology, Jaffalaan 5, 2628, BX Delft, Netherlands; Korevaar, G., Engineering Systems and Services department, Faculty of Technology, Policy and Management Delft University of Technology, Jaffalaan 5, 2628, BX Delft, Netherlands","Life Cycle Assessment (LCA) is a powerful tool for achieving sustainability. Traditional LCAs analyze well defined and developed industrial systems, but recent developments of LCA focus on analyzing emerging technologies which are not yet optimized with respect to energy and materials. Therefore, LCA results of ex-ante applications can be very different from ex-post applications for the same system. The purpose of this study is to show the different effects of data scales on LCA results regarding global warming, fine particulate matter formation, terrestrial acidification and freshwater eutrophication potentials. For this purpose torrefaction technology was selected as the case study and assessed based on bench scale data, lab scale data, data derived from process simulations, pilot scale data and commercial scale data. Considered environmental impacts were global warming, fine particulate matter formation, terrestrial acidification and freshwater eutrophication. Results showed that process efficiencies improved significantly between the bench scale system and systems with higher technology readiness levels (TRLs), such as pilot, process simulations and commercial scale systems. Furthermore, process simulations result in scores closer to commercial scale regarding all considered environmental impacts. However, if LCA practitioners focus only on global warming impact, then pilot scale is also a good alternative. Finally, due to torrefaction technology being relatively simple in terms of raw materials input, we suggest more complex chemical systems to be assessed with LCA in various TRLs. © 2021",Ex post LCA; Ex-ante LCA; Global warming; Technology readiness level; Torrefaction,Acidification; Environmental impact; Environmental technology; Eutrophication; Global warming; Particles (particulate matter); Sustainable development; Water; Environmental assessment; Ex antes; Ex post life cycle assessment; Ex-ante life cycle assessment; Fine particulate matter; Particulate matter formations; Pilot scale; Process simulations; Technology readiness levels; Torrefaction; Life cycle,Article,Final,,Scopus,2-s2.0-85115015414
"Erdbrink A., Michael J., Kortmann R., Hamel M., Eijck K.V., Verbraeck A.",57215971700;56747257600;55747344000;57285799700;57286716700;6603698259;,Listening Space: An exploratory case study on a persuasive game designed to enrich the experience of classical music concerts,2021,Journal on Computing and Cultural Heritage,14,4,49,,,,,10.1145/3458677,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116503019&doi=10.1145%2f3458677&partnerID=40&md5=da766a82ac9c49af0fe4a8488ea90e29,"Department of Multi-Actor Systems, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands; Department of Arts and Culture Studies, Erasmus University of Rotterdam, Burgemeester Oudlaan 50, Rotterdam, 3062 PA, Netherlands; Department of Classical Music, Codarts Rotterdam, Kruisplein 26, Rotterdam, 3012 CC, Netherlands","Erdbrink, A., Department of Multi-Actor Systems, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands; Michael, J., Department of Arts and Culture Studies, Erasmus University of Rotterdam, Burgemeester Oudlaan 50, Rotterdam, 3062 PA, Netherlands; Kortmann, R., Department of Multi-Actor Systems, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands; Hamel, M., Department of Classical Music, Codarts Rotterdam, Kruisplein 26, Rotterdam, 3012 CC, Netherlands; Eijck, K.V., Department of Arts and Culture Studies, Erasmus University of Rotterdam, Burgemeester Oudlaan 50, Rotterdam, 3062 PA, Netherlands; Verbraeck, A., Department of Multi-Actor Systems, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands","Classical music venues in the Netherlands and throughout the world are struggling to attract new audiences. Especially younger visitors are underrepresented. Previous research emphasizes the importance of providing new, potentially interested audiences with more means to consume the music. This paper presents an exploratory case study with the persuasive game Listening Space which we developed to help attract new audiences and thus preserve Western classical music heritage. In particular, we studied to what extent this game could promote more varied ways of listening to classical music and thus enrich the experience of visiting a classical music concert. We designed and executed a controlled randomized trial with surveys before and after the experiment as well as a series of in-depth interviews with participants after the experiment. Our treatment group consisted of 139 participants (both new and existing visitors). They played our digital game at their own convenience, followed by a visit to a concert in a renowned classical music concert hall. A control group of 165 participants only visited the concerts. We measured the effects of the game - changes in the ways participants listen to classical music - through self-report in questionnaires before and after the experiment. Results show that Listening Space seems most effective for new audiences: the game promoted more varied ways of listening in the treatment group and thus enriched their experience of visiting a classical music concert. The control group of new visitors did not show an effect and also no differences were found between the treatment and control groups of regular visitors of classical music concerts We employed regression analysis to identify predictors of the game's effect on listening styles: participants' age and their level of appreciation of the classical music genre were negatively related to the effectiveness of the game. The way in which participants experienced the game also significantly influenced the effectiveness. This case study shows the potential of using games to promote classical music concerts: games seem to be valuable in attracting new, young audiences and, therefore, represent powerful instruments to help preserve Western classical music cultural heritage. © 2021 Owner/Author.",case study; classical music; Cultural heritage; digital game; persuasive gaming,Historic preservation; Music; Regression analysis; Surveys; Case-studies; Classical musics; Control groups; Cultural heritages; Digital games; Exploratory case studies; Netherlands; Persuasive gaming; Randomized trial; Treatment group; Computer games,Article,Final,,Scopus,2-s2.0-85116503019
"Afghari A.P., Faghih Imani A., Papadimitriou E., van Gelder P., Hezaveh A.M.",55845738400;55817273900;8419795900;24537968700;57200793293;,Disentangling the effects of unobserved factors on seatbelt use choices in multi-occupant vehicles,2021,Journal of Choice Modelling,41,,100324,,,,,10.1016/j.jocm.2021.100324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115971916&doi=10.1016%2fj.jocm.2021.100324&partnerID=40&md5=da62f81da487f2553f715cad4bf04018,"Safety and Security Science Section, Faculty of Technology, Policy and Management, Delft University of Technology, Delft, 2628BX, Netherlands; Department of Civil and Environmental Engineering, Imperial College London, London, UK, United Kingdom; Civil and Environmental Engineering, University of Tennessee, Knoxville, TN, United States","Afghari, A.P., Safety and Security Science Section, Faculty of Technology, Policy and Management, Delft University of Technology, Delft, 2628BX, Netherlands; Faghih Imani, A., Department of Civil and Environmental Engineering, Imperial College London, London, UK, United Kingdom; Papadimitriou, E., Safety and Security Science Section, Faculty of Technology, Policy and Management, Delft University of Technology, Delft, 2628BX, Netherlands; van Gelder, P., Safety and Security Science Section, Faculty of Technology, Policy and Management, Delft University of Technology, Delft, 2628BX, Netherlands; Hezaveh, A.M., Civil and Environmental Engineering, University of Tennessee, Knoxville, TN, United States","Despite the proven effectiveness of seatbelt use in reducing traffic casualties, not wearing a seatbelt still contributes to a substantial proportion of fatal crashes worldwide. This problem has raised the need to better understand factors contributing to seatbelt use, particularly in multi-occupant vehicles. Among these factors, behavioural determinants of seatbelt use are difficult to measure and their data are not readily available. These behavioural factors may have shared influences on vehicle occupants, causing their seatbelt use choices to be correlated. These complexities have prevented a comprehensive understanding of seatbelt use choices in the literature. This study aims to fill this gap by developing an econometric model that explains seatbelt use choices in multi-occupant vehicles. A set of binary logit models are constructed for seatbelt use choices and their utilities are correlated across vehicle occupants. A new latent variable representing the unobserved factors or ‘atmosphere’ of the vehicle is then incorporated into the model. The model is empirically tested using seatbelt use data from Tennessee, United States. Results indicate that vehicle body type and time of the day are significantly associated with seatbelt use. In addition, the collective seatbelt use in a vehicle is influenced by the unobserved atmosphere in the vehicle. Age, alcohol and drug consumption, higher proportion of old population and white racial mix, higher income per capita, and higher education levels are factors contributing to this latent atmosphere. © 2021 The Authors",Bayesian inference; Endogeneity; Integrated choice and latent variable; Seatbelt use,,Article,Final,,Scopus,2-s2.0-85115971916
"Fahim P.B.M., Martinez de Ubago Alvarez de Sotomayor M., Rezaei J., van Binsbergen A., Nijdam M., Tavasszy L.",56319061400;57277064300;14029188500;7801338750;23111216100;41762713200;,On the evolution of maritime ports towards the Physical Internet,2021,Futures,134,,102834,,,,,10.1016/j.futures.2021.102834,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115935938&doi=10.1016%2fj.futures.2021.102834&partnerID=40&md5=469d49afb4b5892d404872add2c69bfb,"Transport & Logistics Group, Faculty of Technology, Policy & Management, Delft University of Technology, Delft, 2628 BX, Netherlands; Transport & Planning Group, Faculty of Civil Engineering & Geosciences, Delft University of Technology, Delft, 2628 CN, Netherlands; Strategy & Analytics, Port of Rotterdam, Rotterdam, 3072 AP, Netherlands","Fahim, P.B.M., Transport & Logistics Group, Faculty of Technology, Policy & Management, Delft University of Technology, Delft, 2628 BX, Netherlands; Martinez de Ubago Alvarez de Sotomayor, M., Transport & Logistics Group, Faculty of Technology, Policy & Management, Delft University of Technology, Delft, 2628 BX, Netherlands; Rezaei, J., Transport & Logistics Group, Faculty of Technology, Policy & Management, Delft University of Technology, Delft, 2628 BX, Netherlands; van Binsbergen, A., Transport & Planning Group, Faculty of Civil Engineering & Geosciences, Delft University of Technology, Delft, 2628 CN, Netherlands; Nijdam, M., Strategy & Analytics, Port of Rotterdam, Rotterdam, 3072 AP, Netherlands; Tavasszy, L., Transport & Logistics Group, Faculty of Technology, Policy & Management, Delft University of Technology, Delft, 2628 BX, Netherlands","The Physical Internet (PI) is a novel, comprehensive and long-term vision of the future global freight transport and logistics (FTL) system, which is aimed at radically improving its efficiency and sustainability. As research on the PI concept is still young, the functioning of maritime ports in the context of the PI is still underexplored. Our aim is to contribute to the scientific debate about radically different futures for maritime ports around the world, by identifying their possible future development paths towards the PI. We construct an evolutionary port development framework that identifies the main dimensions of the PI in relation to ports, including governance, operational, and digital aspects. To design the future development paths towards the PI, we conducted a scenario analysis and used a Delphi survey amongst port development and PI experts. The resulting expectation is that a fully globally functioning of the PI may not be reached by 2040. Also, our analysis shows that global governance of FTL systems is critical for the pace of development and adoption. Building on the identified potential future development paths, we provide a discussion, relevant for port authorities and other stakeholders, as well as avenues for future research. © 2021 The Authors",Delphi study; Freight transport; Logistics; Maritime ports; Physical Internet; Scenario development,,Article,Final,,Scopus,2-s2.0-85115935938
"van Veen B.L., Ortt J.R.",57207346371;57259261700;,Unifying weak signals definitions to improve construct understanding,2021,Futures,134,,102837,,,,,10.1016/j.futures.2021.102837,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114933372&doi=10.1016%2fj.futures.2021.102837&partnerID=40&md5=d97b42ffc59a34a89f0b579285cb2004,"Jisperweg 5, Noordbeemster, 1463 ND, Netherlands; Technology, Policy, and Management, Delft University of Technology, Mekelweg 2, Delft, 2628 CD, Netherlands","van Veen, B.L., Jisperweg 5, Noordbeemster, 1463 ND, Netherlands; Ortt, J.R., Technology, Policy, and Management, Delft University of Technology, Mekelweg 2, Delft, 2628 CD, Netherlands","The research into the perception of early signals, the so-called weak signals, started in the field of strategic planning in the 1970s. Soon, research dispersed into new, specialized fields, such as foresight, sense-making, and entrepreneurial alertness. Each field used different terms for weak signals and framed the research in its own theoretical and methodological basis, which led to many different descriptions of weak signals. To put a stop to the growing number of definitions, this paper presents a contrarian approach. The usual simple combinations are likely to omit relevant meaning when underlying definitions only partially overlap. Therefore, his paper used a three-step approach including cluster analysis to unify 68 reviewed definitions into one. Cluster analysis includes more meaning by summarizing data. The analysis resulted in the defining of weakness in terms of distance to a perceiver's frame of reference. Distance explains the difficulty of perceiving weak signals more clearly than keywords like novel, ambiguous, or ill-defined. Distance also helps to quantify the amount of weakness in signals. Our approach may help others to find clarity and retain meaning when constructs are fuzzy. Defining weakness in distance opens up comparative studies between signals of various levels of weakness. © 2021 The Authors",Definition development; Foresight; Top managers; Weak signals,,Article,Final,,Scopus,2-s2.0-85114933372
"Pourmohammad-Zia N., Karimi B., Rezaei J.",56529731300;57193142554;14029188500;,Food supply chain coordination for growing items: A trade-off between market coverage and cost-efficiency,2021,International Journal of Production Economics,242,,108289,,,,,10.1016/j.ijpe.2021.108289,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114914678&doi=10.1016%2fj.ijpe.2021.108289&partnerID=40&md5=aacac9c7670e9e55e7fe8a2d6d5cc5e7,"Department of Industrial Engineering and Management Systems, Amirkabir University of Technology, Iran; Faculty of Technology Policy and Management, Delft University of Technology, Netherlands","Pourmohammad-Zia, N., Department of Industrial Engineering and Management Systems, Amirkabir University of Technology, Iran; Karimi, B., Department of Industrial Engineering and Management Systems, Amirkabir University of Technology, Iran; Rezaei, J., Faculty of Technology Policy and Management, Delft University of Technology, Netherlands","The accurate operation of a Food Supply Chain (FSC) is a critical issue as it directly interfaces with health and safety matters. This study addresses coordination and conflict management in a three-level FSC that embraces a new inventory type known as growing items like poultry and livestock. The chain involves a rearing farm as the supplier, a processed food producer as the manufacturer, and multiple processed food retailers. Vendor Managed Inventory (VMI) is applied by the manufacturer to handle the retailers' systems and prevent replenishment mismatches and thereby food waste. To increase its market coverage, the manufacturer needs to provide the retailers with enough incentives to enter this setting. So, a cost-sharing contract is designed under which the manufacturer undertakes a fraction of the retailers’ holding costs. Accordingly, the manufacturer faces two contradictory targets, increasing its market coverage by convincing the retailers to enter the system on the one hand and managing its costs efficiently on the other hand. An analytic solution approach with a game-theoretic perspective is developed to solve the model. Extensive numerical experiments and a case study are provided, presenting fruitful managerial insights that can be utilized by the policymakers and chain members under different settings. The results highlight the efficiency of our VMI and cost-sharing collaboration scheme in enhancing the performance of the chain. © 2021 The Author(s)",Coordination; Cost-efficiency; Food supply chain; Growth; Market coverage; Vendor managed inventory,Agriculture; Costs; Economic and social effects; Efficiency; Food supply; Game theory; Manufacture; Sales; Supply chains; Coordination; Cost-efficiency; Coverage efficiencies; Critical issues; Food supply chain; Market costs; Market coverage; Supply chain coordination; Trade off; Vendor managed Inventory; Cost effectiveness,Article,Final,,Scopus,2-s2.0-85114914678
"van der Voort H., van Bulderen S., Cunningham S., Janssen M.",7003539458;57243520400;7201937112;16199813000;,Data science as knowledge creation a framework for synergies between data analysts and domain professionals,2021,Technological Forecasting and Social Change,173,,121160,,,,,10.1016/j.techfore.2021.121160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114129758&doi=10.1016%2fj.techfore.2021.121160&partnerID=40&md5=098cb66b1745a47ded4b88ea6b9f7afd,"Delft Unversity of Technology, Faculty Technology, Policy and Management, Delft, Netherlands; IVO Rechtspraak, Utrecht, Netherlands; University of Strathclyde, Glasgow, United Kingdom; Delft Unversity of Technology, Faculty of Technology, Policy and Management, Delft, Netherlands","van der Voort, H., Delft Unversity of Technology, Faculty Technology, Policy and Management, Delft, Netherlands; van Bulderen, S., IVO Rechtspraak, Utrecht, Netherlands; Cunningham, S., University of Strathclyde, Glasgow, United Kingdom; Janssen, M., Delft Unversity of Technology, Faculty of Technology, Policy and Management, Delft, Netherlands","The road from data generation to data use is commonly approached as a data-driven, functional process in which domain expertise is integrated as an afterthought. In this contribution we complement this functional view with an institutional view, that takes data analysis and domain professionalism as complementary (yet fallible) knowledge sources. We developed a framework that identifies and amplifies synergies between data analysts and domain professionals instead of taking one of them (i.e. data analytics) at the centre of the analytical process. The framework combines the often-cited CRISP-DM framework with a knowledge creation framework. The resulting framework is used in a data science project at a Dutch inspectorate that seeks to use data for risk-based inspection. The findings show first support of our framework. They also show that whereas more complex models have a higher predictive power, simpler models are sometimes preferred as they have the potential to create more synergies between inspectors and data analyst. Another issue driven by the integrated framework is about who of the involved actors should own the predictive model: data analysts or inspectors. © 2021",Data science; Knowledge; Predictive model; Professionalism; Risk-based inspection; Value creation,Data Science; Data analysts; Data domains; Data driven; Data generation; Knowledge; Knowledge creations; Predictive models; Professionalism; Risk-based inspection; Value creation; Data Analytics,Article,Final,,Scopus,2-s2.0-85114129758
"Chockalingam S., Pieters W., Teixeira A., van Gelder P.",57197728037;34168211300;36549538300;24537968700;,Bayesian network model to distinguish between intentional attacks and accidental technical failures: a case study of floodgates,2021,Cybersecurity,4,1,29,,,,,10.1186/s42400-021-00086-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113988932&doi=10.1186%2fs42400-021-00086-6&partnerID=40&md5=4a1b5c55d20a0faa7a219bca1a88a144,"Faculty of Technology, Policy and Management, Delft University of Technology, Delft, Netherlands; Department of Risk, Safety and Security, Institute for Energy Technology, Halden, Norway; Behavioural Science Institute, Radboud University, Nijmegen, Netherlands; Department of Electrical Engineering, Uppsala University, Uppsala, Sweden","Chockalingam, S., Faculty of Technology, Policy and Management, Delft University of Technology, Delft, Netherlands, Department of Risk, Safety and Security, Institute for Energy Technology, Halden, Norway; Pieters, W., Faculty of Technology, Policy and Management, Delft University of Technology, Delft, Netherlands, Behavioural Science Institute, Radboud University, Nijmegen, Netherlands; Teixeira, A., Department of Electrical Engineering, Uppsala University, Uppsala, Sweden; van Gelder, P., Faculty of Technology, Policy and Management, Delft University of Technology, Delft, Netherlands","Water management infrastructures such as floodgates are critical and increasingly operated by Industrial Control Systems (ICS). These systems are becoming more connected to the internet, either directly or through the corporate networks. This makes them vulnerable to cyber-attacks. Abnormal behaviour in floodgates operated by ICS could be caused by both (intentional) attacks and (accidental) technical failures. When operators notice abnormal behaviour, they should be able to distinguish between those two causes to take appropriate measures, because for example replacing a sensor in case of intentional incorrect sensor measurements would be ineffective and would not block corresponding the attack vector. In the previous work, we developed the attack-failure distinguisher framework for constructing Bayesian Network (BN) models to enable operators to distinguish between those two causes, including the knowledge elicitation method to construct the directed acyclic graph and conditional probability tables of BN models. As a full case study of the attack-failure distinguisher framework, this paper presents a BN model constructed to distinguish between attacks and technical failures for the problem of incorrect sensor measurements in floodgates, addressing the problem of floodgate operators. We utilised experts who associate themselves with the safety and/or security community to construct the BN model and validate the qualitative part of constructed BN model. The constructed BN model is usable in water management infrastructures to distinguish between intentional attacks and accidental technical failures in case of incorrect sensor measurements. This could help to decide on appropriate response strategies and avoid further complications in case of incorrect sensor measurements. © 2021, The Author(s).",Bayesian network; DeMorgan model; Intentional attack; Probability elicitation; Safety; Security; Technical failure; Water management,Bayesian networks; Directed graphs; Hydraulic gates; Network security; Water management; Abnormal behaviours; Bayesian network models; Conditional probability tables; Directed acyclic graph (DAG); Industrial control systems; Intentional Attacks; Management infrastructure; Response strategies; Floods,Article,Final,,Scopus,2-s2.0-85113988932
"Afghari A.P., Papadimitriou E., Li X., Kaye S.-A., Oviedo-Trespalacios O.",55845738400;8419795900;36084933000;55218169600;56331561100;,How much should a pedestrian be fined for intentionally blocking a fully automated vehicle? A random parameters beta hurdle model with heterogeneity in the variance of the beta distribution,2021,Analytic Methods in Accident Research,32,,100186,,,,1,10.1016/j.amar.2021.100186,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113420263&doi=10.1016%2fj.amar.2021.100186&partnerID=40&md5=6d053415a0d9063725da2b08e67d92d4,"Safety and Security Science Section, Faculty of Technology, Policy and Management, Delft University of Technology, Delft, 2628BX, Netherlands; Queensland University of Technology (QUT), Centre for Accident Research and Road Safety-Queensland (CARRS-Q), Kelvin Grove, Queensland  4059, Australia; Strategic Senior Research Fellow, Queensland University of Technology (QUT), Centre for Accident Research and Road Safety-Queensland (CARRS-Q), Kelvin Grove, Queensland  4059, Australia","Afghari, A.P., Safety and Security Science Section, Faculty of Technology, Policy and Management, Delft University of Technology, Delft, 2628BX, Netherlands; Papadimitriou, E., Safety and Security Science Section, Faculty of Technology, Policy and Management, Delft University of Technology, Delft, 2628BX, Netherlands; Li, X., Queensland University of Technology (QUT), Centre for Accident Research and Road Safety-Queensland (CARRS-Q), Kelvin Grove, Queensland  4059, Australia; Kaye, S.-A., Queensland University of Technology (QUT), Centre for Accident Research and Road Safety-Queensland (CARRS-Q), Kelvin Grove, Queensland  4059, Australia; Oviedo-Trespalacios, O., Strategic Senior Research Fellow, Queensland University of Technology (QUT), Centre for Accident Research and Road Safety-Queensland (CARRS-Q), Kelvin Grove, Queensland  4059, Australia","Intentionally blocking the path of fully automated vehicles is an important dimension of pedestrians’ receptivity towards these vehicles. The monetary value of this behaviour can be obtained by asking pedestrians about their perception of the “fine” for blocking the path of a fully automated vehicle. Econometric modelling of the reported fine can shed more light on factors influencing pedestrians’ receptivity towards fully automated vehicles. However, development of such an econometric model is not straightforward due to the unique characteristics of the dependent variable: it has two fundamentally different states; it is right-truncated; and it may be fat-tailed. Despite fairly extensive methodological advancements in econometric modelling of pedestrian behaviour, there is no model that can adequately explain these characteristics. While a beta distribution in a hurdle setting has the potential to address the above complexities, its applicability in dealing with limited dependent variables in transport applications has remained, by and large, unexplored. This study aims to fill this gap by developing a new beta hurdle regression model that systematically considers the dual-state of a right-truncated dependent variable representing the fine associated with intentionally blocking a fully automated vehicle. The hypothesized model is empirically tested using data obtained from a survey administered in Queensland, Australia, and the results are compared with truncated lognormal, and truncated lognormal hurdle regression models. Results indicate that the hurdle models are superior to the non-hurdle model. The beta variant of the hurdle model provides a better statistical fit for the data that are near their right limit. In addition, parametrizing the variance of the beta distribution captures the additional heterogeneity in the data. Age, gender, education level, violations, attitudes, behaviours that appease social interactions, and perceived ease or difficulty of interacting with fully automated vehicles influence the likelihood and/or the propensity of the fine and thus are associated with the perceived monetary value of intentionally blocking the path of a fully automated vehicle. © 2021 The Author(s)",Beta distribution; Fully automated vehicles; Hurdle regression; Pedestrian receptivity; Truncated regression,Automation; Regression analysis; Vehicles; Beta distributions; Dependent variables; Econometric model; Econometric modelling; Perceived monetary values; Random parameters; Social interactions; Transport applications; Pedestrian safety,Article,Final,,Scopus,2-s2.0-85113420263
